v8-version,4,6,85,31,0
code-creation,Handler,3,0x128d68021300,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68021380,502,"ArrayNArgumentsConstructorStub"
code-creation,Stub,12,0x128d68021580,187,"CompareICStub"
code-creation,Stub,11,0x128d68021640,220,"BinaryOpICStub"
code-creation,Stub,2,0x128d68021720,450,"FastNewContextStub"
code-creation,Stub,2,0x128d68021900,814,"FastNewContextStub"
code-creation,Handler,3,0x128d68021c40,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68021d20,212,"BinaryOpICStub"
code-creation,CallIC,8,0x128d68021e00,113,"A call IC from the snapshot"
code-creation,Stub,2,0x128d68021e80,534,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0x128d680220a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68022120,566,"ArrayNArgumentsConstructorStub"
code-creation,Handler,3,0x128d68022360,654,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68022600,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x128d68022680,410,"FastNewContextStub"
code-creation,Stub,14,0x128d68022820,228,"ToBooleanStub"
code-creation,Stub,11,0x128d68022920,232,"BinaryOpICStub"
code-creation,CallIC,8,0x128d68022a20,634,"A call IC from the snapshot"
code-creation,Stub,11,0x128d68022ca0,292,"BinaryOpICStub"
code-creation,Stub,2,0x128d68022de0,958,"StoreFastElementStub"
code-creation,Stub,11,0x128d680231a0,462,"BinaryOpICStub"
code-creation,Stub,11,0x128d68023380,458,"BinaryOpICStub"
code-creation,Stub,12,0x128d68023560,222,"CompareICStub"
code-creation,Stub,2,0x128d68023640,662,"FastNewContextStub"
code-creation,Stub,2,0x128d680238e0,482,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,11,0x128d68023ae0,458,"BinaryOpICStub"
code-creation,Stub,2,0x128d68023cc0,360,"StoreFastElementStub"
code-creation,Stub,2,0x128d68023e40,1834,"RecordWriteStub"
code-creation,Stub,2,0x128d68024580,360,"StoreFastElementStub"
code-creation,Stub,11,0x128d68024700,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d680247e0,248,"BinaryOpICStub"
code-creation,Handler,3,0x128d680248e0,112,"An IC handler from the snapshot"
code-creation,CallIC,8,0x128d68024960,113,"A call IC from the snapshot"
code-creation,Handler,3,0x128d680249e0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68024a60,608,"MathPowStub"
code-creation,Stub,2,0x128d68024cc0,1822,"RecordWriteStub"
code-creation,Stub,11,0x128d680253e0,220,"BinaryOpICStub"
code-creation,Handler,3,0x128d680254c0,112,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68025540,272,"An IC handler from the snapshot"
code-creation,CallIC,8,0x128d68025660,113,"A call IC from the snapshot"
code-creation,Stub,2,0x128d680256e0,385,"CallApiGetterStub"
code-creation,Stub,11,0x128d68025880,486,"BinaryOpICStub"
code-creation,Stub,2,0x128d68025a80,366,"FastNewContextStub"
code-creation,Stub,2,0x128d68025c00,188,"DoubleToIStub"
code-creation,Handler,3,0x128d68025cc0,112,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68025d40,292,"BinaryOpICStub"
code-creation,Stub,2,0x128d68025e80,991,"NameDictionaryLookupStub"
code-creation,Stub,2,0x128d68026260,1154,"FastNewContextStub"
code-creation,Handler,3,0x128d68026700,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68026780,232,"BinaryOpICStub"
code-creation,Stub,11,0x128d68026880,232,"BinaryOpICStub"
code-creation,Stub,2,0x128d68026980,482,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,3,0x128d68026b80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68026c00,120,"An IC handler from the snapshot"
code-creation,Handler,3,0x128d68026c80,272,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68026da0,152,"BinaryOpICStub"
code-creation,Handler,3,0x128d68026e40,272,"An IC handler from the snapshot"
code-creation,Stub,12,0x128d68026f60,195,"CompareICStub"
code-creation,Stub,2,0x128d68027040,766,"FastNewClosureStub"
code-creation,Stub,2,0x128d68027340,2710,"RecordWriteStub"
code-creation,Stub,2,0x128d68027de0,918,"FastNewContextStub"
code-creation,Stub,11,0x128d68028180,152,"BinaryOpICStub"
code-creation,Stub,12,0x128d68028220,628,"CompareICStub"
code-creation,Stub,11,0x128d680284a0,284,"BinaryOpICStub"
code-creation,Handler,3,0x128d680285c0,184,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68028680,284,"BinaryOpICStub"
code-creation,Stub,11,0x128d680287a0,458,"BinaryOpICStub"
code-creation,Stub,2,0x128d68028980,199,"CallConstructStub"
code-creation,Stub,2,0x128d68028a60,566,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,3,0x128d68028ca0,244,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d68028da0,974,"StoreFastElementStub"
code-creation,Stub,11,0x128d68029180,332,"BinaryOpICStub"
code-creation,Stub,2,0x128d680292e0,206,"InternalArrayConstructorStub"
code-creation,Stub,2,0x128d680293c0,446,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,11,0x128d68029580,152,"BinaryOpICStub"
code-creation,Handler,3,0x128d68029620,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d680296a0,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d68029780,486,"BinaryOpICStub"
code-creation,Stub,2,0x128d68029980,203,"ToNumberStub"
code-creation,Stub,11,0x128d68029a60,284,"BinaryOpICStub"
code-creation,Stub,11,0x128d68029b80,434,"BinaryOpICStub"
code-creation,Handler,3,0x128d68029d40,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d68029e20,284,"BinaryOpICStub"
code-creation,Stub,2,0x128d68029f40,566,"ArrayNArgumentsConstructorStub"
code-creation,Stub,11,0x128d6802a180,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,11,0x128d6802a200,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d6802a2e0,232,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802a3e0,1831,"RecordWriteStub"
code-creation,Handler,3,0x128d6802ab20,220,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6802ac00,212,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802ace0,746,"FastNewContextStub"
code-creation,Handler,3,0x128d6802afe0,120,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6802b060,248,"BinaryOpICStub"
code-creation,Stub,11,0x128d6802b160,220,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802b240,372,"JSEntryStub"
code-creation,Stub,12,0x128d6802b3c0,222,"CompareICStub"
code-creation,Handler,3,0x128d6802b4a0,272,"An IC handler from the snapshot"
code-creation,Stub,2,0x128d6802b5c0,554,"ArrayNArgumentsConstructorStub"
code-creation,Stub,11,0x128d6802b800,434,"BinaryOpICStub"
code-creation,Stub,11,0x128d6802b9c0,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d6802baa0,364,"BinaryOpICStub"
code-creation,Stub,11,0x128d6802bc20,212,"BinaryOpICStub"
code-creation,Stub,11,0x128d6802bd00,220,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802bde0,1786,"RecordWriteStub"
code-creation,Handler,3,0x128d6802c4e0,160,"An IC handler from the snapshot"
code-creation,Stub,11,0x128d6802c580,434,"BinaryOpICStub"
code-creation,Stub,13,0x128d6802c740,200,"CompareNilICStub"
code-creation,Stub,11,0x128d6802c820,458,"BinaryOpICStub"
code-creation,Stub,2,0x128d6802ca00,945,"SubStringStub"
code-creation,Stub,11,0x128d6802cdc0,232,"BinaryOpICStub"
